product_id,expo_time,decay_rate
A,1,1
A,2,0.691020008
A,3,0.505971976
A,4,0.441105837
A,5,0.402226939
A,6,0.332917302
A,7,0.531821245
A,8,0.409460819
A,9,0.250060667
A,10,0.000216612
B,1,1
B,2,0.636934267
B,3,0.63487873
B,4,0.713724285
B,5,0.842894006
B,6,0.540767482
B,7,0.645580002
B,8,0.581163357
B,9,0.757899346
B,10,0.393564799
C,1,1
C,2,0.509245998
C,3,0.454231947
C,4,0.420456288
C,5,0.230379046
C,6,0.206360318
C,7,0.213904288
C,8,0.155993222
C,9,0.143886184
C,10,0.068857424
D,1,1
D,2,0.781634973
D,3,0.643674966
D,4,0.710455089
D,5,0.421191031
D,6,0.372534138
D,7,0.354342779
D,8,0.408798887
D,9,0.323260285
D,10,0.153574412
E,1,1
E,4,0.80905339
E,5,0.731865405
E,6,0.709185221
E,7,0.603184258
E,8,0.65841033
E,9,0.654313935
E,10,0.327818346
F,1,1
F,2,0.911610175
F,3,0.730465691
F,4,0.66757044
F,5,0.849552056
F,6,0.815744126
F,7,0.753912739
F,8,0.719120565
F,9,0.806689907
F,10,0.53025782
G,1,1
G,2,0.662842574
G,3,0.284652663
G,4,0.096961148
G,5,0.129515339
G,6,0.045997798
G,7,0.035318207
G,8,0.012256308
G,9,0.013981751
G,10,0.00393424
H,1,1
H,2,0.554545012
H,3,0.514209678
H,4,0.308303741
H,5,0.223662376
H,6,0.144163788
H,7,0.105311544
H,8,0.064369757
H,9,0.060471156
H,10,0.017343245
I,1,1
I,2,0.959580814
I,3,0.603694344
I,4,0.593373052
I,5,0.586406222
I,6,0.393799178
I,7,0.525832912
I,8,0.3407486
I,9,0.341570845
I,10,0.258815877
J,1,1
J,2,0.781394372
J,3,0.941844897
J,4,0.59744877
J,5,0.717860991
J,6,0.655450032
J,7,0.700717041
J,8,0.558211257
J,9,0.698446969
J,10,0.371056836
K,1,1
K,2,0.717528548
K,3,0.92615869
K,4,0.57037369
K,5,0.646916858
K,6,0.544482691
K,7,0.449071359
K,8,0.419009189
K,9,0.381794654
K,10,0.363219182
L,1,1
L,2,0.895987
L,3,0.63879615
L,4,0.584165873
L,5,0.664421747
L,6,0.555203016
L,7,0.501919475
L,8,0.4282428
L,9,0.339493286
L,10,0.220214617
M,1,1
M,3,0.939971852
M,4,0.949924516
M,5,1.033899529
M,6,0.749716934
M,7,0.93786788
M,8,0.739038348
M,9,0.951384553
M,10,0.579775714
N,1,1
N,2,0.882483423
N,3,0.933922926
N,4,0.675618944
N,5,0.845473346
N,6,0.731630784
N,7,0.892857479
N,8,0.565895055
N,9,0.807480051
N,10,0.537915083
O,1,1
O,2,0.533282806
O,3,0.59156517
O,4,0.484885468
O,5,0.443346302
O,6,0.457202184
O,7,0.541880354
O,8,0.4979418
O,9,0.441979497
O,10,0.262116926
P,1,1
P,2,0.886625367
P,3,0.837028164
P,4,0.73444719
P,5,0.964861746
P,6,0.773493129
P,7,0.75351271
P,8,0.609172334
P,9,0.614367494
P,10,0.381673627
Q,1,1
Q,2,0.630566928
Q,3,0.425734479
Q,4,0.336156467
Q,5,0.299420368
Q,6,0.318148919
Q,7,0.31856852
Q,8,0.203530593
Q,9,0.278553672
Q,10,0.141358726
R,1,1
R,2,0.784568336
R,3,0.647086853
R,4,0.690435038
R,5,0.767909656
R,6,0.736771154
R,7,0.54061074
R,8,0.478516638
R,9,0.553097555
R,10,0.675475535
S,1,1
S,2,0.88228445
S,3,1.023591559
S,4,0.651575755
S,5,0.691609885
S,6,0.546229383
S,7,0.535368771
S,8,0.556546464
S,9,0.361548062
S,10,0.305472842
T,1,1
T,2,0.766993139
T,3,0.525586623
T,4,0.637356826
T,5,0.544065147
T,6,0.416003422
T,7,0.538555252
T,8,0.462004344
T,9,0.336993986
T,10,0.410500571
U,1,1
U,2,0.692328673
U,3,0.705084016
U,4,0.675454914
U,5,0.636413644
U,6,0.49961216
U,7,0.425155446
U,8,0.354288705
U,9,0.396403782
U,10,0.244660894
V,1,1
V,2,0.844852369
V,3,0.477234027
V,4,0.541067908
V,5,0.428218032
V,6,0.294092731
V,7,0.26332094
V,8,0.28483684
V,9,0.328849085
V,10,0.157343282
W,1,1
W,2,0.513152847
W,3,0.255075558
W,4,0.196696111
W,5,0.123776821
W,6,0.074471265
W,7,0.067230934
W,8,0.052291016
W,9,0.052657846
W,10,0.02616805
X,1,1
X,2,0.642667314
X,3,0.318726498
X,4,0.196231745
X,5,0.191818771
X,6,0.168288555
X,7,0.1157899
X,8,0.102391014
X,9,0.099733627
X,10,0.089477952
Y,1,1
Y,2,0.889992199
Y,3,0.969101986
Y,4,0.858006683
Y,5,0.947923709
Y,6,0.811103248
Y,7,0.62171201
Y,8,0.624080529
Y,9,0.772914086
Y,10,0.40617238
Z,1,1
Z,2,1.18095264
Z,3,0.912229628
Z,4,0.66329666
Z,5,0.8539978
Z,6,0.674455946
Z,7,0.689111568
Z,8,0.516552361
Z,9,0.507115235
Z,10,0.325622906
